dopant_spec,element,method,concentration_at%,atmosphere,temperature_C,time_min,photocurrent_uA,dark_current_pA,photo_dark_ratio,sensitivity,vacancy_concentration,measurement_voltage_V,measurement_wavelength_nm,notes,doi,usable_flag
undoped,—,PLD on n-4H-SiC,0.0,O2,700.0,,,167.0,2.584670384464349,,14.496929648073214,,,dark=0.167nA;PDCR=384.3;D*=8.23e11;rise=0.18s,DOI:10.1016/j.jallcom.2019.09.134,ok
undoped,—,PLD+ion-cutting transfer to 4H-SiC,0.0,O2,600.0,,,,5.0,2.24,,,,R=2.24 A/W;rejection=10⁵;T-Ga₂O₃,DOI:10.1016/j.jallcom.2021.161522,ok
undoped,—,PLD+O₂ anneal on 4H-SiC,0.0,O2,650.0,30.0,,600.0,2.6989700043360187,,,,,dark=0.6nA;fast decay=41ms after O₂ ann.,DOI:10.1016/j.jallcom.2021.161522,ok
Al:0.050000,Al,RF magnetron sputtering on SiC,5.0,Ar,800.0,,,,3.6989700043360174,2.6,,10.0,254.0,10V;254nm;R=2.6 A/W;EQE=1265%;decay=0.26s,ACS Omega 2024 review PMC,ok
undoped,—,MOCVD+fluorine plasma surface,0.0,Ar,800.0,,,6.0,5.0,18.43,,,,15min F-plasma;dark=6pA;R=18.43 A/W;D*=2.48e14,DOI:10.1021/acsami.1c11145,ok
,Zr,Hydrothermal+sputtered β-Ga₂O₃,2.0,O2,700.0,,,,5.477121254719663,,,,,PDCR=3e5;Zr–O eliminates VO;ACS AMI 2024,DOI:10.1021/acsami.4c12331,exotic_skip
undoped,—,MOCVD+ultra-thin AlN buffer (9nm),0.0,N2+O2,800.0,,,,7.139879086401237,4.55,,,,PDCR=1.38e7;R=4.55 A/W;Surf.Coat.Technol.2024,DOI:10.1016/j.surfcoat.2024.130947,ok
undoped,—,MOCVD,0.0,N2+O2,900.0,,,,5.0,42000.0,,,,R=4.2×10⁴ A/W;D*=1.2×10¹³;EQE=2.1×10⁷%,DOI:10.1038/s41598-026-40487-6,ok
undoped,—,MOCVD homoepitaxy on Sn:Ga₂O₃,0.0,N2+O2,800.0,15.0,,,3.0,0.59,,0.0,,0V;R=0.59 A/W;PDCR>10³;<10ms,DOI:10.1016/j.optlastec.2025.111168,ok
undoped,—,RF magnetron sputtering+O₂ ann.+post ann.,0.0,O2,750.0,60.0,,,4.181843587944773,54.0,,,,R=54 A/W;D*=2.17e14;J.Phys.Chem.C 2022,DOI:10.1021/acs.jpcc.2c07278,ok
undoped,—,RF magnetron sputtering,0.0,Ar,700.0,30.0,,,,,,,,S1 30min;thinner film;higher VO,DOI:10.3390/cryst13101434,ok
undoped,—,RF magnetron sputtering,0.0,Ar,700.0,60.0,,,,,,,,S2 60min;intermediate quality,DOI:10.3390/cryst13101434,ok
,—,RF magnetron sputtering+ann.,0.0,O2,,,,,8.0,,,,,best ε-phase PDCR reported,ε-PMC review 2025 Table 5,exotic_skip
,—,RF magnetron sputtering+ann.,0.0,O2,,,,,3.0,0.1,,,,lower end ε-RFMS,ε-PMC review 2025 Table 5,exotic_skip
undoped,—,PLD+O₂ annealing,0.0,O2,650.0,30.0,,,3.851258348719076,,16.744292983122676,,,carrier=5.55e16;PF emission trap=0.58eV,Surf.Coat.Technol. 2025 132609,ok
undoped,—,RF magnetron sputtering (glancing angle),0.0,Ar,800.0,,,,0.3617278360175928,,,,,Glancing angle dep;high surface area;ACS Appl.Electron.2023,DOI:10.1021/acsaelm.3c00502,ok
,Sn,MOCVD homoepitaxy (textured),,N2+O2,800.0,,,,,,,,,Highly textured Sn-doped epilayer;R↑;AOM 2025,DOI:10.1002/adom.202500325,no_conc
undoped,—,RF magnetron sputtering+Ag₂O,0.0,Ar,800.0,,,,,,,,,Self-powered;Ag₂O/Ga₂O₃;ACS AMI 2022,DOI:10.1021/acsami.2c03193,ok
undoped,—,MOCVD+thermal oxidation GaN,0.0,O2,800.0,,,,,2493.5,,,,β-Ga₂O₃ from GaN oxidation;R=2493.5 A/W;D*>10¹⁶,DOI:10.1016/j.vacuum.2023.112570,ok
undoped,—,CVD+suspension release,0.0,N2+O2,800.0,,,,,,,,,Suspended structure;high R&speed;Research 2024,DOI:10.34133/research.0546,ok
undoped,—,MOCVD+organic TAPC,0.0,O2,800.0,,,0.02,5.770852011642144,,,0.0,,0V;Id~20fA;D*=1.02e13;Ion/Ioff=5.9e5,J.Phys.Chem.C review 2022,ok
undoped,—,MOCVD on GaN/sapphire,0.0,N2+O2,800.0,,,,,,,,,Ultrahigh R HEMT UV;Mater.Today Phys.2025,DOI:10.1016/j.mtphys.2025.101683,ok
undoped,—,PLD on Al₂O₃,0.0,O2,650.0,,1.06,,4.842609239610562,0.09,,10.0,401.0,401nm PLD;Iph=1.06μA @10V;R=90mA/W,ResearchGate Ga₂O₃ thickness 2022,ok
undoped,—,RFMS+GaN substrate,0.0,Ar,800.0,,,,,,,,800.0,Self-powered broadband 230-800nm;Ga₂O₃/GaN,DOI:10.1021/acsaelm.2c01376,ok
undoped,—,MOCVD thick film (μm),0.0,N2+O2,800.0,,,,,,,,,Directional carrier transport;thick film μm;ACS AMI 2023,DOI:10.1021/acsami.3c00124,ok
,Mg+Zn,ALD (Zn/Mg mixed cycle),,O2,,,,,,,,,,Micro-ALD;RTA;Nanomaterials 2025,DOI:10.3390/nano15070499,no_conc
,Zr,RFMS+IGZO sputtering,,Ar:O2=1:1,800.0,,,,,,,,,Flexible;Zr-2DEG interfacial confinement;high R,DOI:10.1021/acsphotonics.5c00975,exotic_skip
,N,PEALD+N plasma,,N2_plasma,,,,,,,,,,Bandgap eng.;VO activity inhibition;JPCL 2023,DOI:10.1021/acs.jpclett.3c01186,no_conc
undoped,—,EFG melt-grown single crystal,0.0,inert,1800.0,,,,,,,,,(010) substrate;Au Schottky contact;SBD,DOI:10.1063/1.2804570,ok
Sn:0.000004,Sn,PAMBE on (010) Ga₂O₃,0.00037,O2_plasma,700.0,,,,,136.0,15.204119982655923,,,μ=136 cm²/Vs;Sn doped MOCATAXY,PMC11396281 review,ok
,Si,PAMBE δ-modulation doped,,O2,700.0,,,,,,,,,AlGaO/Ga₂O₃ 2DEG;μ=180 cm²/Vs,PSU thesis 2024,no_conc
,Ta,MOCVD+flexible substrate,,N2+O2,800.0,,,,,,,,,Flexible DUV phototransistor;npj Flex.Electron.2022,DOI:10.1038/s41528-022-00181-x,no_conc
undoped,—,Inkjet printing,0.0,air,500.0,,,,,,,,,Flexible inkjet;DUV;room-T process,Long et al. research cited,ok
undoped,—,MOCVD+lattice epitaxy release,0.0,N2+O2,800.0,,,,,,,,,2D crystalline membrane;ACS Nano 2024,DOI:10.1021/acsnano.3c10025,ok
undoped,—,PLD,0.0,O2,650.0,,,,,,16.744292983122676,,,295K RT;PF emission dark;R=0.70 A/W baseline,DOI:10.1016/j.surfcoat.2025.132609,ok
undoped,—,PLD,0.0,O2,650.0,,,,,,16.744292983122676,,,250°C;R↑ to 0.74 A/W;dark↑;PDCR↓,DOI:10.1016/j.surfcoat.2025.132609,ok
undoped,—,RF magnetron sputtering,0.0,Ar,800.0,,,,,,,,,Impact ionization gain;Opt.Express 2024,DOI:10.1364/OE.531784,ok
N:0.020000,N,MOCVD+N₂O annealing,2.0,N2O,800.0,,,,,,16.193124598354462,,,p-type;hole conc=1.56e16;μ=23.6 cm²/Vs,DOI:10.1039/D3TC00345K ref p-type,ok
,Al+Ga,MOCVD on p-GaN,20.0,N2+O2,850.0,,,,,,16.903089986991944,,,x=0.20;β-phase maintained,DOI:10.1016/j.apsusc.2024.159234,exotic_skip
,Al+Ga,MOCVD on p-GaN,29.0,N2+O2,850.0,,,,,,16.69897000433602,,,x=0.29;β-phase maintained,DOI:10.1016/j.apsusc.2024.159234,exotic_skip
undoped,—,Spatial ALD,0.0,O2,400.0,60.0,,,2.6989700043360187,,17.0,,,Baseline for Zn sALD series,DOI:10.1016/j.surfcoat.2025.131691,ok
Zn:0.025000,Zn,Spatial ALD,2.5,O2,400.0,60.0,,,3.0,,16.69897000433602,,,2.5 at% Zn sALD,DOI:10.1016/j.surfcoat.2025.131691,ok
Zn:0.051000,Zn,Spatial ALD,5.1,O2,400.0,60.0,,,3.4771212547196626,,16.30102999566398,,,5.1 at% Zn sALD,DOI:10.1016/j.surfcoat.2025.131691,ok
Mg:0.010100,Mg,RF magnetron sputtering,1.01,Ar,800.0,60.0,,,,1.97,,30.0,,Hu 2025 best;R=1.97 A/W @30V,DOI:10.1016/j.surfcoat.2025.131940,ok
undoped,—,RF magnetron sputtering,0.0,Ar,800.0,,,,,,,,,Typical undoped RFMS baseline performance,Pearton APS Review 2018,ok
undoped,—,MOCVD+in-situ crystal,0.0,N2+O2,800.0,,,,,,,,,High-speed in situ crystal;ACS AMI 2024,DOI:10.1021/acsami.3c17534,ok
undoped,—,RF magnetron sputtering+O₂,0.0,O2,600.0,60.0,,,,,,,,O₂ 600°C ann.;dark↓;PDCR↑;Fang et al.,Fang 2020 ApplSurf ref,ok
undoped,—,RF magnetron sputtering,0.0,Ar,800.0,60.0,,,,,,,,Undoped comparison same conditions as Si:2.34,DOI:10.1016/j.vacuum.2024.113564,ok
,Sn,MOCVD (d-mode phototransistor),,N2+O2,800.0,,,,,,,,210.0,Thick channel;d-mode;VT<0;210nm det.,DOI:10.3390/s24175822,no_conc
,Sn,PE-ALD,,O2,,,,,,,,,,Sn-doped PE-ALD;rapid thermal annealing,DOI:10.3390/cryst13020301,no_conc
,Si,Mist-CVD (α-phase),2.0,air,650.0,,,,6.510545010206612,323.0,,20.0,254.0,PDCR=3.24e6;R=323 A/W;20V;254nm;Mist-CVD,DOI:10.1016/j.mssp.2024.108428,exotic_skip
,Mg,Hydrothermal,,wet,180.0,,,,,,,,,Mg:α-Ga₂O₃ nanorod;PEC HJ;Adv.Sci.2025,DOI:10.1002/advs.202413074,exotic_skip
,Sn,Mist-CVD α-phase,,air,650.0,,,,,,,,,Sn-assisted α-Ga₂O₃;over 1 A/W;IEEE Sens.J.2025,DOI:10.1109/JSEN.2024.3497006,exotic_skip
undoped,—,MOCVD+thermal GaN oxidation,0.0,N2+O2,800.0,,,,,,,,,β-Ga₂O₃ from GaN top-layer nitrogen-to-O swap,DOI:10.1016/j.surfcoat.2025.131780 ref,ok
undoped,—,RFMS+NiO sputtering,0.0,Ar,800.0,,,,,,,,,NiO p-n junction;power+optoelectronic,PMC:11997563 review,ok
undoped,—,Ozone-MBE (ozone-enhanced),0.0,O2,700.0,,,,,,,,,Ozone MBE;enhanced O;lower VO;PMC review,PMC11396281,ok
undoped,—,Plasma-assisted MBE (PA-MBE),0.0,O2_plasma,700.0,,,,,,,,,PAMBE;standard β-Ga₂O₃ growth,PMC11396281,ok
,Zn+Ga,RF magnetron sputtering,,Ar:O2=1:1,800.0,,,,,,,,,ZnGa₂O₄ by RFMS;MSM PD;Vacuum 2024,DOI:10.1016/j.vacuum.2024.113165,exotic_skip
,B,RF magnetron sputtering,,Ar:O2=1:1,,30.0,,,,,,,,B-doped RFMS;bandgap 5.07–5.19eV;JAC 2025,DOI:10.1016/j.jallcom.2025.179343,no_conc
undoped,—,MOCVD+AlN buffer on SiC,0.0,N2+O2,800.0,,,,,,,,,(100) orientation;JMST 2025;AlN buffer SiC,DOI:10.1016/j.jmst.2024.05.044,ok
,N,RF magnetron sputtering+N₂,,N2,700.0,,,,,,,,,N-doped VO modulation;high-perf MSM;JMCC 2024,DOI:10.1039/D4TC02145A,no_conc
,V,Optical floating zone,,Ar:O2=1:1,1800.0,,,,,,,,,V-doped Ga₂O₃ crystal;1300°C ann. study,Luchechko 2024 review,no_conc
undoped,—,RFMS+InSe exfoliation,0.0,Ar,800.0,,,,,,,,,InSe p-type vdW/Ga₂O₃;low dark;JMCC 2024,DOI:10.1039/D4TC02790F,ok
undoped,—,RF magnetron sputtering+air,0.0,air,800.0,60.0,,,,,,,,O₂ loss during air ann;VO moderate,Fang et al. 2020 ref,ok
undoped,—,PLD,0.0,O2,450.0,,,,,,,,,450°C;between 400-550°C,DOI:10.1016/j.vacuum.2025.113564,ok
undoped,—,EFG+cleave/exfoliate,0.0,inert,1800.0,,,,,,,,,Single crystal nanoribbons;Li et al.JPCM 2001,DOI:10.1088/0953-8984/13/5/302,ok
,Al+Ga+Zn,RF magnetron co-sputtering,,Ar:O2=1:1,700.0,,,,,,,,,Performance vs.Al/Ga/Zn ratios;IEEE Sens.J.,Liu et al. IEEE Sens.J. ref,no_conc
Nb:0.005000,Nb,RF magnetron sputtering,0.5,Ar:O2=1:1,800.0,,,,3.6989700043360174,,17.079181246047625,,,Nb-doped;PDCR=5e3;photo-response enhanced,DOI:10.1016/j.vacuum.2017.09.007,ok
Sn:0.000000,Sn,Sol-gel,4e-05,air,600.0,,,,4.0,,16.17609125905568,,,Low Sn;carrier 1.5e16;Sensors Actuators A 2023,DOI:10.1016/j.sna.2023.114765,ok
Sn:0.000001,Sn,Sol-gel,0.00014,air,600.0,,,,4.698970004336019,,16.69897000433602,,,Opt.Sn;carrier 5e16;best PDCR,DOI:10.1016/j.sna.2023.114765,ok
Sn:0.000006,Sn,Sol-gel,0.00055,air,600.0,,,,3.0,,17.30102999566398,,,High Sn;carrier 2e17;dark↑,DOI:10.1016/j.sna.2023.114765,ok
Sn:0.000000,Sn,CVD microbelts,3e-05,N2,1050.0,,,0.5,8.0,300.0,16.0,,,dark=0.5pA;PDCR=1e8;R=300 A/W;38.8μs response,ACS Omega 2024 review,ok
N:0.030000,N,MOCVD via GaN phase-transition,3.0,N2O,800.0,,,,6.0,9500.0,15.456366033129044,,,p-type;hole conc=2.86e15;R=9500 A/W;EQE=4.7e6%,DOI:10.1016/j.mtphys.2020.100147,ok
undoped,—,MOCVD,0.0,N2O,800.0,,,,3.0,,14.30102999566398,,,undoped p-type;hole conc=2e14;low baseline,DOI:10.1016/j.mtphys.2020.100147,ok
undoped,—,MOCVD,0.0,N2+O2,800.0,,,,2.6989700043360187,,17.69897000433602,,,Low O₂/TEGa ratio;high VO;dark high,DOI:10.1007/s40843-025-3495-8,ok
undoped,—,MOCVD,0.0,N2+O2,800.0,,,,4.0,,15.69897000433602,,,Opt.O₂/TEGa;VO↓;best SBUV+X-ray,DOI:10.1007/s40843-025-3495-8,ok
undoped,—,MOCVD,0.0,N2+O2,800.0,,,,3.6989700043360174,,15.0,,,High O₂/TEGa;VO very low;crystal quality premium,DOI:10.1007/s40843-025-3495-8,ok
Si:0.000000,Si,Suboxide MBE,1.4e-05,O2,525.0,,,,,,15.69897000433602,,,S-MBE;carrier=5e15;μ=185 cm²/Vs,DOI:10.1063/5.0139622,ok
Si:0.000001,Si,Suboxide MBE,5.5e-05,O2,525.0,,,,,,16.30102999566398,,,S-MBE;carrier=2e16;μ=176 cm²/Vs,DOI:10.1063/5.0139622,ok
Si:0.000003,Si,Suboxide MBE,0.00027,O2,525.0,,,,,,17.0,,,S-MBE;carrier=1e17;high doping,DOI:10.1063/5.0139622,ok
Si:0.000027,Si,Suboxide MBE,0.0027,O2,525.0,,,,,,18.0,,,S-MBE;carrier=1e18;μ=627@76K,DOI:10.1063/5.0139622,ok
Sn:0.000000,Sn,Plasma-assisted MBE,2.7e-05,O2_plasma,700.0,,,,,,16.0,,,PAMBE Sn-doped (010);low carrier,DOI:10.1063/5.0027870,ok
Sn:0.000003,Sn,Plasma-assisted MBE,0.00027,O2_plasma,700.0,,,,,,17.0,,,PAMBE Sn-doped (010);mid carrier,DOI:10.1063/5.0027870,ok
Sn:0.000027,Sn,Plasma-assisted MBE,0.0027,O2_plasma,700.0,,,,,,18.0,,,PAMBE Sn-doped (010);high carrier,DOI:10.1063/5.0027870,ok
N:0.000010,N,HVPE,0.001,N2+O2,800.0,,,,,,15.204119982655923,,,HVPE;ND=1.6e15 (residual Si background),arXiv:2601.15555,ok
N:0.000050,N,HVPE,0.005,N2+O2,800.0,,,,,,16.30102999566398,,,HVPE;N-doped semi-insulating;ND=2e16,arXiv:2601.15555,ok
undoped,—,"MOCVD (TEGa, 0.8μm/h)",0.0,N2+O2,800.0,,,,,,16.30102999566398,,,UID MOCVD UCSB;carrier=2e16;μ=194 cm²/Vs record,PMC11396281 review,ok
undoped,—,"MOCVD (TMGa, 3μm/h)",0.0,N2+O2,800.0,,,,,,15.69897000433602,,,OSU MOCVD TMGa;carrier=5e15;high rate growth,PMC11396281 review,ok
undoped,—,RF magnetron sputtering on 4H-SiC,0.0,Ar:O2=1:1,800.0,,,,,,14.496929648073214,,,Hall:μ=30.16 cm²/Vs;carrier=3.14e14,DOI:10.1007/s13391-021-00297-6,ok
Si:0.000000,Si,MOCVD,2.7e-06,N2+O2,800.0,,,,,,15.0,,,Si MOCVD channel;n=1e15;low doping for SBD,MOCVD review APL Mater. 2025,ok
Si:0.000003,Si,MOCVD,0.00027,N2+O2,800.0,,,,,,17.0,,,Si MOCVD;n=1e17;typical device channel,MOCVD review APL Mater. 2025,ok
Si:0.000027,Si,MOCVD,0.0027,N2+O2,800.0,,,,,,18.0,,,Si MOCVD;n=1e18;high channel doping,MOCVD review APL Mater. 2025,ok
Si:0.000275,Si,MOCVD,0.0275,N2+O2,800.0,,,,,,19.0,,,Si MOCVD;n=1e19;n+ contact regrown,MOCVD review APL Mater. 2025,ok
Sn:0.007140,Sn,MOCVD,0.714,N2+O2,900.0,,,,,,20.41497334797081,,,Sn heavily doped;carrier=2.6e20;TCO level;highest reported,DOI:10.1063/5.0139622 review,ok
undoped,—,RF magnetron sputtering+AlN,0.0,Ar,800.0,,,120.0,3.342422680822206,2.17,15.69897000433602,10.0,,MISIM;AlN interlayer;10V;2μW/cm²;PDCR=2200,DOI:10.3390/coatings15111312,ok
undoped,—,RFMS+HfZrO₂ dep.,0.0,Ar,800.0,,,,5.0,,16.30102999566398,,,HfZrO₂ ferroelectric;PDCR=1e5;self-powered,DOI:10.1021/acsami.3c02209,ok
undoped,—,MOCVD+organic PCDTBT,0.0,N2+O2,800.0,,,,4.0,,16.0,,,Organic p-type HJ;multifunctional;InfoMat 2024,DOI:10.1002/inf2.12533,ok
undoped,—,RFMS+TiO₂+MXene,0.0,Ar,800.0,,,,5.0,,15.69897000433602,,,Ga₂O₃/TiO₂/Ti₃C₂ HJ;PDCR=1e5;DUV comm.imaging,DOI:10.1016/j.mtcomm.2024.111065,ok
undoped,—,RFMS+WSe₂ transfer,0.0,Ar,800.0,,,,4.0,,16.0,,,Ga₂O₃/WSe₂ gate-tunable;±photoresponse;Phot.Res.,DOI:10.1364/PRJ.480694,ok
undoped,—,RFMS+BFMO film,0.0,Ar,800.0,,,,4.0,,15.30102999566398,,,Ga₂O₃/BFMO;dual electric fields;DUV detector;JMCC,DOI:10.1039/D3TC03218G,ok
undoped,—,MOCVD+AlN+Si,0.0,N2+O2,800.0,,,,5.7160033436348,131.3,14.69897000433602,,,−55V;avalanche gain=2.7e4;R=131.3 A/W;D*=2.9e15,DOI:10.1016/j.mtphys.2024.101474,ok
Mg:0.010100,Mg,RF magnetron sputtering,1.01,Ar,800.0,60.0,,,3.0,1.97,16.30102999566398,30.0,,Best S3 1.01at%;carrier=2e16;R=1.97A/W @30V,DOI:10.1016/j.surfcoat.2025.131940,ok
undoped,—,PE-ALD (amorphous),0.0,O2,,,,,5.0,,17.0,,,a-Ga₂O₃ PE-ALD;PDCR=1e5;J.Electron.Sci.Technol.2022,DOI:10.1016/j.jest.2022.100176,ok
In:0.050000,In,CVD,5.0,Ar,1050.0,,,,5.434568904034199,,15.69897000433602,,,In-doped nanobelts;EQE=2.72e5%;carrier~5e15;R↑,ACS Omega 2024 review,ok
Sn:0.030000,Sn,CVD microbelts,3.0,N2,1050.0,,,0.5,8.0,300.0,16.0,,,Sn-doped MB array;dark=0.5pA;PDCR=1e8;R=300 A/W,Zhou et al. ACS Omega ref,ok
undoped,—,EFG bulk crystal+Au Schottky,0.0,inert,1800.0,,,,4.0,,14.0,,,(010) single crystal;EFG;Schottky barrier h=1.3-1.5eV,DOI:10.1063/1.2804570,ok
undoped,—,MOCVD,0.0,N2+O2,800.0,,,,5.0,,15.30102999566398,0.0,,0V;zero power consumption;MOCVD;high-T stable;ACS AMI 2022,DOI:10.1021/acsami.2c14978,ok
Si:0.000008,Si,MOCVD,0.00082,N2+O2,800.0,,,,,,17.477121254719663,,,Si MOCVD FET channel;n=3e17;GOX2023 conference,GOX2023 proceedings,ok
N:0.015000,N,MOCVD+N ion implantation,1.5,N2+O2,800.0,,,,,,14.69897000433602,,,N implant;carrier↓ 1-2 orders vs undoped,PMC11396281 review,ok
undoped,—,RF magnetron sputtering,0.0,Ar:O2=1:1,800.0,,,,2.0,,17.0,,,Undoped ref for Nb-doping study;Vacuum 2017,DOI:10.1016/j.vacuum.2017.09.007,ok
,Sn,Sol-gel,2e-05,air,600.0,,,,5.0,,15.903089986991944,,,Self-powered;PDCR=1e5;carrier=8e15 optimized;SA2023,DOI:10.1016/j.sna.2023.114765,exotic_skip
,Zn+Ga,ALD,17.0,O2,,,,59.0,4.845098040014257,17.6,14.69897000433602,,,Zn:Ga=5:5;dark=59pA;PDCR=7e4;R=17.6 A/W,DOI:10.1021/acsmaterialslett.3c00559,exotic_skip
,Zn+Ga,ALD,5.0,O2,,,,,3.6989700043360174,,16.0,,,Zn:Ga=1:9;low Zn;bandgap~5.0eV,DOI:10.1021/acsmaterialslett.3c00559,exotic_skip
,Zn+Ga,ALD,45.0,O2,,,,,2.0,,17.69897000433602,,,Zn:Ga=9:1;high Zn;bandgap~3.9eV;n↑,DOI:10.1021/acsmaterialslett.3c00559,exotic_skip
,—,Hydrothermal+annealing,0.0,N2,400.0,,,,3.0,,16.0,,,PEC type;self-powered;UV;α-nanorod,DOI:10.1088/1361-6528/ad470e,exotic_skip
undoped,—,RF magnetron sputtering,0.0,Ar,800.0,,,,4.0,,16.69897000433602,,,Interdigital electrode opt.;R ultrahigh;IEEE EDL 2022,DOI:10.1109/LED.2022.3173041,ok
undoped,—,MOCVD,0.0,N2+O2,800.0,,,,4.301029995663981,,16.477121254719663,,,800°C growth;medium oxygen def.,Sci.Rep. MOCVD T-series 2026,ok
undoped,—,MOCVD,0.0,N2+O2,850.0,,,,4.698970004336019,,16.0,,,850°C;optimized oxygen;R increases,Sci.Rep. MOCVD T-series 2026,ok
undoped,—,MOCVD,0.0,N2+O2,750.0,,,,3.6989700043360174,,17.0,,,750°C;lower temp;more O-def;dark↑,Sci.Rep. MOCVD T-series 2026,ok
undoped,—,MOCVD,0.0,N2+O2,800.0,,,,,,16.30102999566398,,,Record μ=194 cm²/Vs;UID MOCVD;n=2e16,DOI:10.1063/5.0369553 APL Mater.2025,ok
Si:0.000008,Si,MOCVD,0.00082,N2+O2,800.0,,,,,,17.477121254719663,,,Si MOCVD;μ=150 cm²/Vs;n=3e17,DOI:10.1063/5.0369553 APL Mater.2025,ok
undoped,—,,,Ar,,,,,,,,,,,,ok
undoped,—,,,Ar,,,,,,,,,,,,ok
undoped,—,,,Ar,,,,,,,,,,,,ok
undoped,—,,,Ar,,,,,,,,,,,,ok
,—,,,Ar,,,,,,,,,,,,no_conc
Eu:0.002000,Eu,PLD,0.2,,500.0,180.0,,,,,,,611.0,auto-extracted + OCR; substrate=sapphire; src=1-s2.0-S0022231317302077-main.pdf,10.1016/j.jlumin.2017.10.054,ok
Eu:0.013000,Eu,PLD,1.3,,500.0,180.0,,,,,,,611.0,auto-extracted + OCR; substrate=sapphire; src=1-s2.0-S0022231317302077-main.pdf,10.1016/j.jlumin.2017.10.054,ok
Cu:0.100000,Cu,sol-gel,10.0,N2,,20.0,,,,,,,210.0,auto-extracted; substrate=sapphire; src=1-s2.0-S0925838817335983-main.pdf,10.1016/j.jallcom.2017.10.162,ok
Cu:0.125000,Cu,sol-gel,12.5,N2,,20.0,,,,,,,210.0,auto-extracted; substrate=sapphire; src=1-s2.0-S0925838817335983-main.pdf,10.1016/j.jallcom.2017.10.162,ok
Cu:0.136500,Cu,sol-gel,13.65,N2,,20.0,,,,,,,210.0,auto-extracted; substrate=sapphire; src=1-s2.0-S0925838817335983-main.pdf,10.1016/j.jallcom.2017.10.162,ok
V:0.050000,V,RF magnetron sputtering,5.0,,600.0,5.0,,,,,,,200.0,auto-extracted + OCR; substrate=quartz; src=1-s2.0-S0257897219302762-main.pdf,10.1016/j.surfcoat.2018.12.130,ok
Mg:0.049200,Mg,RF magnetron sputtering,4.92,,,240.0,,,,,,10.0,254.0,auto-extracted; substrate=sapphire (c-plane); src=1-s2.0-S0167577X17312508-main.pdf,10.1016/j.matlet.2017.08.052,ok
Mg:0.068800,Mg,RF magnetron sputtering,6.88,,,240.0,,,,,,10.0,254.0,auto-extracted; substrate=sapphire (c-plane); src=1-s2.0-S0167577X17312508-main.pdf,10.1016/j.matlet.2017.08.052,ok
Mg:0.085800,Mg,RF magnetron sputtering,8.58,,,240.0,,,,,,10.0,254.0,auto-extracted; substrate=sapphire (c-plane); src=1-s2.0-S0167577X17312508-main.pdf,10.1016/j.matlet.2017.08.052,ok
Mg:0.019100,Mg,RF magnetron sputtering,1.91,O2_plasma,,15.0,,,,,11.734799829588846,5.0,254.0,auto-extracted; substrate=sapphire; src=1-s2.0-S1369800122000233-main.pdf,10.1016/j.mssp.2022.106471,ok
Mg:0.032800,Mg,RF magnetron sputtering,3.28,O2_plasma,,15.0,,,,,11.734799829588846,5.0,254.0,auto-extracted; substrate=sapphire; src=1-s2.0-S1369800122000233-main.pdf,10.1016/j.mssp.2022.106471,ok
Mg:0.052200,Mg,RF magnetron sputtering,5.22,O2_plasma,,15.0,,,,,11.734799829588846,5.0,254.0,auto-extracted; substrate=sapphire; src=1-s2.0-S1369800122000233-main.pdf,10.1016/j.mssp.2022.106471,ok
Mg:0.010000,Mg,RF magnetron sputtering,1.0,O2_plasma,,30.0,,,4.309630167425898,,,10.0,254.0,auto-extracted; substrate=sapphire; src=1731990706_52094_3ceb3973993750e94e00830070ccb419.pdf,10.1016/j.mssp.2024.108361,ok
Mg:0.020000,Mg,RF magnetron sputtering,2.0,O2_plasma,,30.0,,,4.309630167425898,,,10.0,254.0,auto-extracted; substrate=sapphire; src=1731990706_52094_3ceb3973993750e94e00830070ccb419.pdf,10.1016/j.mssp.2024.108361,ok
Mg:0.030000,Mg,RF magnetron sputtering,3.0,O2_plasma,,30.0,,,4.309630167425898,,,10.0,254.0,auto-extracted; substrate=sapphire; src=1731990706_52094_3ceb3973993750e94e00830070ccb419.pdf,10.1016/j.mssp.2024.108361,ok
F:0.008300,F,RF magnetron sputtering,0.83,,,,,,,,,,600.0,auto-extracted + OCR; substrate=—; src=Electronic structure and optical properties of F-doped β-Ga2O3 from first principles calculations.pdf,10.1088/1674-4926/37/4/042002,ok
F:0.012500,F,RF magnetron sputtering,1.25,,,,,,,,,,600.0,auto-extracted + OCR; substrate=—; src=Electronic structure and optical properties of F-doped β-Ga2O3 from first principles calculations.pdf,10.1088/1674-4926/37/4/042002,ok
F:0.016700,F,RF magnetron sputtering,1.67,,,,,,,,,,600.0,auto-extracted + OCR; substrate=—; src=Electronic structure and optical properties of F-doped β-Ga2O3 from first principles calculations.pdf,10.1088/1674-4926/37/4/042002,ok
F:0.025000,F,RF magnetron sputtering,2.5,,,,,,,,,,600.0,auto-extracted + OCR; substrate=—; src=Electronic structure and optical properties of F-doped β-Ga2O3 from first principles calculations.pdf,10.1088/1674-4926/37/4/042002,ok
Nb:0.001000,Nb,MBE,0.1,,,,,,,,,,260.0,auto-extracted; substrate=sapphire (c-plane); src=1-s2.0-S0375960122001074-main.pdf,10.1016/j.physleta.2022.128025,ok
Nb:0.008300,Nb,MBE,0.83,,,,,,,,,,260.0,auto-extracted; substrate=sapphire (c-plane); src=1-s2.0-S0375960122001074-main.pdf,10.1016/j.physleta.2022.128025,ok
