corpus,file,doi,dopant_element,co_dopants,concentration_value,concentration_unit,growth_method,carrier_type,measurement_kind,sample_label,carrier_cm3,mu_cm2Vs,rho_ohmcm,quote
phase77,10.1016/j.mssp.2025.110003,10.1016/j.mssp.2025.110003,undoped,,,at%,temperature-dependent Hall effect (MOCVD,,Hall,,,30.0,,phase77_ingest
phase77,10.1016/j.mssp.2025.110003,10.1016/j.mssp.2025.110003,undoped,,,at%,temperature-dependent Hall effect (MOCVD,,Hall,,,30.0,,phase77_ingest
phase77,10.1016/j.mtadv.2023.100436,10.1016/j.mtadv.2023.100436,P,,,at%,MOCVD-grown beta-Ga2O3 epilayer on sapph,,Hall,,1.612e+18,,,phase77_ingest
phase77,10.1016/j.mtadv.2023.100436,10.1016/j.mtadv.2023.100436,P,,,at%,MOCVD-grown beta-Ga2O3 epilayer on sapph,,Hall,,6.428e+17,,,phase77_ingest
phase77,10.1016/j.mtadv.2025.100568,10.1016/j.mtadv.2025.100568,P,,,at%,MOCVD UID epilayer + phosphorus ion impl,,Hall,,,0.399,,phase77_ingest
phase77,10.1016/j.mtadv.2025.100568,10.1016/j.mtadv.2025.100568,P,,,at%,phosphorus ion implantation into UID bet,,Hall,,1.612e+18,,,phase77_ingest
phase77,10.1016/j.mtphys.2024.101602,10.1016/j.mtphys.2024.101602,P,,,at%,MOCVD epilayer + phosphorus ion implanta,,Hall,,4.4e+18,1.2,,phase77_ingest
phase77,10.1016/j.mtphys.2024.101602,10.1016/j.mtphys.2024.101602,P,,,at%,MOCVD epilayer + phosphorus ion implanta,,Hall,,6.5e+18,2.06,,phase77_ingest
phase77,10.1016/j.mtphys.2024.101602,10.1016/j.mtphys.2024.101602,P,,,at%,phosphorus-ion implanted β-Ga2O3 thin fi,,Hall,,1.6e+18,0.4,,phase77_ingest
phase77,10.1021/acs.cgd.2c00290,10.1021/acs.cgd.2c00290,Si,,,at%,"MOCVD (010) homoepitaxy, TMGa precursor,",,Hall,,1.8e+16,190.0,,phase77_ingest
phase77,10.1021/acs.cgd.2c00290,10.1021/acs.cgd.2c00290,Si,,,at%,"MOCVD (010) homoepitaxy, TMGa precursor,",,Hall,,6.01e+16,171.0,,phase77_ingest
phase77,10.1021/acs.cgd.2c00290,10.1021/acs.cgd.2c00290,Si,,,at%,"MOCVD (010) homoepitaxy, TMGa precursor,",,Hall,,3.22e+17,142.0,,phase77_ingest
phase77,10.1021/acs.cgd.2c00290,10.1021/acs.cgd.2c00290,Si,,,at%,"MOCVD (010) homoepitaxy, TMGa precursor,",,Hall,,1.85e+18,114.0,,phase77_ingest
phase77,10.1021/acs.cgd.2c00290,10.1021/acs.cgd.2c00290,Si,,,at%,"MOCVD (010) homoepitaxy, TMGa precursor,",,Hall,,1.06e+19,95.0,,phase77_ingest
phase77,10.1021/acs.cgd.2c00290,10.1021/acs.cgd.2c00290,Si,,,at%,"MOCVD (010) homoepitaxy, TMGa precursor,",,Hall,,3.8e+19,93.0,,phase77_ingest
phase77,10.1021/acs.cgd.2c00290,10.1021/acs.cgd.2c00290,Si,,,at%,"MOCVD (010) homoepitaxy, TMGa precursor,",,Hall,,4.24e+16,163.0,,phase77_ingest
phase77,10.1021/acs.cgd.2c00290,10.1021/acs.cgd.2c00290,Si,,,at%,"MOCVD (010) homoepitaxy, TMGa precursor,",,Hall,,4.5e+16,134.0,,phase77_ingest
phase77,10.1021/acs.cgd.4c01049,10.1021/acs.cgd.4c01049,Si,,,at%,"MOCVD homoepitaxy on (010) β-Ga2O3, puls",,Hall,,3.35e+19,44.1,,phase77_ingest
phase77,10.1021/acsaelm.4c01857,10.1021/acsaelm.4c01857,Ta,,,at%,optical floating zone single crystal,,Hall,,7e+17,138.0,,phase77_ingest
phase77,10.1021/acsomega.1c05130,10.1021/acsomega.1c05130,Sn,,,at%,mist CVD (alpha-phase Ga2O3 film on sapp,,Hall,,5e+18,1.99,,phase77_ingest
phase77,10.1038/s41528-022-00179-3,10.1038/s41528-022-00179-3,Ta,,,at%,OFZ single crystal; stated active carrie,,Hall,,1.4e+18,,,phase77_ingest
phase77,10.1038/s41598-017-13656-x,10.1038/s41598-017-13656-x,undoped,,,at%,"EFG bulk single crystal (Tamura), temper",,Hall,,1.71e+17,,,phase77_ingest
phase77,10.1038/s41598-017-13656-x,10.1038/s41598-017-13656-x,undoped,,,at%,"EFG bulk single crystal (Tamura), temper",,Hall,,1.21e+17,,,phase77_ingest
phase77,10.1038/s41598-017-13656-x,10.1038/s41598-017-13656-x,undoped,,,at%,"temperature-dependent Hall mobility, van",,Hall,,,160.0,,phase77_ingest
phase77,10.1038/s41598-020-62948-2,10.1038/s41598-020-62948-2,H,,,at%,"EFG-grown beta-Ga2O3, H2 diffusion (quar",,Hall,,,1.0,,phase77_ingest
phase77,10.1038/s41598-020-62948-2,10.1038/s41598-020-62948-2,H,,,at%,"EFG-grown beta-Ga2O3, O2 anneal followed",,Hall,,,100.0,,phase77_ingest
phase77,10.1063/1.5025704,10.1063/1.5025704,Si,,,at%,PA-MBE (modulation-doped β-(Al0.18Ga0.82,,Hall,,,162.0,,phase77_ingest
phase77,10.1063/1.5025704,10.1063/1.5025704,Si,,,at%,PA-MBE modulation-doped β-(Al0.18Ga0.82),,Hall,,,180.0,,phase77_ingest
phase77,10.1063/1.5025704,10.1063/1.5025704,Si,,,at%,PA-MBE modulation-doped β-(AlxGa1-x)2O3/,,Hall,,,990.0,,phase77_ingest
phase77,10.1063/1.5034474,10.1063/1.5034474,Ge,,,at%,MBE,,Hall,,6.5e+16,,,phase77_ingest
phase77,10.1063/1.5034474,10.1063/1.5034474,Ge,,,at%,MBE,,Hall,,3e+17,,,phase77_ingest
phase77,10.1063/1.5034474,10.1063/1.5034474,Si,,,at%,CZ,,Hall,,1.3e+17,,,phase77_ingest
phase77,10.1063/1.5034474,10.1063/1.5034474,Si,,,at%,EFG,,Hall,,3e+17,,,phase77_ingest
phase77,10.1063/1.5034474,10.1063/1.5034474,Si,,,at%,LPCVD,,Hall,,8e+17,,,phase77_ingest
phase77,10.1063/1.5034474,10.1063/1.5034474,Si,,,at%,LPCVD,,Hall,,1e+18,,,phase77_ingest
phase77,10.1063/1.5058059,10.1063/1.5058059,undoped,,,at%,MOCVD,,Hall,,7400000000000000.0,176.0,,phase77_ingest
phase77,10.1063/1.5109678,10.1063/1.5109678,Si,,,at%,"HVPE homoepitaxial (010), on UID beta-Ga",,Hall,,1.32e+17,95.0,,phase77_ingest
phase77,10.1063/1.5109678,10.1063/1.5109678,Si,,,at%,"HVPE homoepitaxial (010), on beta-Ga2O3 ",,Hall,,4.04e+17,67.0,,phase77_ingest
phase77,10.1063/1.5109678,10.1063/1.5109678,Si,,,at%,"HVPE homoepitaxial (010), on semi-insula",,Hall,,7.92e+18,80.0,,phase77_ingest
phase77,10.1063/1.5109678,10.1063/1.5109678,Si,,,at%,"HVPE homoepitaxial (010), on semi-insula",,Hall,,1.02e+19,,,phase77_ingest
phase77,10.1063/1.5132752,10.1063/1.5132752,undoped,,,at%,MOCVD homoepitaxy,,Hall,,240000000000000.0,153.0,,phase77_ingest
phase77,10.1063/1.5132752,10.1063/1.5132752,undoped,,,at%,MOCVD homoepitaxy,,Hall,,3000000000000000.0,550.0,,phase77_ingest
phase77,10.1063/1.5132752,10.1063/1.5132752,undoped,,,at%,MOCVD homoepitaxy,,Hall,,,150.0,,phase77_ingest
phase77,10.1063/5.0043903,10.1063/5.0043903,Sn,,,at%,melt growth EFG (Edge-defined Film-fed G,,Hall,,2.15e+18,,,phase77_ingest
phase77,10.1063/5.0043903,10.1063/5.0043903,Sn,,,at%,melt growth EFG single crystal (Tamura C,,Hall,,,90.0,,phase77_ingest
phase77,10.1063/5.0043903,10.1063/5.0043903,Sn,,,at%,melt growth EFG single crystal (Tamura C,,Hall,,,110.86,,phase77_ingest
phase77,10.1063/5.0059657,10.1063/5.0059657,Ge,,,at%,MOCVD,,Hall,,6e+19,42.8,,phase77_ingest
phase77,10.1063/5.0059657,10.1063/5.0059657,Ge,,,at%,MOCVD,,Hall,,5.7e+19,55.0,,phase77_ingest
phase77,10.1063/5.0059657,10.1063/5.0059657,Ge,,,at%,MOCVD,,Hall,,5.8e+19,40.0,,phase77_ingest
phase77,10.1063/5.0059657,10.1063/5.0059657,Ge,,,at%,MOCVD,,Hall,,1.5e+20,37.6,,phase77_ingest
phase77,10.1063/5.0059657,10.1063/5.0059657,Ge,,,at%,MOCVD,,Hall,,2.6e+20,,,phase77_ingest
phase77,10.1063/5.0059657,10.1063/5.0059657,Ge,,,at%,MOCVD,,Hall,,2e+16,,,phase77_ingest
phase77,10.1063/5.0059657,10.1063/5.0059657,Ge,,,at%,MOCVD,,Hall,,3e+20,,,phase77_ingest
phase77,10.1063/5.0059657,10.1063/5.0059657,Ge,,,at%,"MOCVD (Agilis 100, TEGa)",,Hall,,,125.0,,phase77_ingest
phase77,10.1063/5.0059657,10.1063/5.0059657,Ge,,,at%,"MOCVD (Agilis 100, TEGa), T_sub=880C",,Hall,,8e+16,,,phase77_ingest
phase77,10.1063/5.0059657,10.1063/5.0059657,Ge,,,at%,"MOCVD (Agilis 700 CIS, TEGa)",,Hall,,3.6e+16,138.0,,phase77_ingest
phase77,10.1063/5.0059657,10.1063/5.0059657,Ge,,,at%,"MOCVD (Agilis 700 CIS, TMGa)",,Hall,,9e+17,78.0,,phase77_ingest
phase77,10.1063/5.0059657,10.1063/5.0059657,Ge,,,at%,"MOCVD, T_sub=600C",,Hall,,,43.0,,phase77_ingest
phase77,10.1063/5.0059657,10.1063/5.0059657,Ge,,,at%,"MOCVD, T_sub=880C",,Hall,,4.4e+17,98.0,,phase77_ingest
phase77,10.1063/5.0087987,10.1063/5.0087987,Si,,,at%,PAMBE homoepitaxy on Fe-doped beta-Ga2O3,,Hall,,3e+19,25.0,,phase77_ingest
phase77,10.1063/5.0124017,10.1063/5.0124017,Ge,,,at%,"ion implantation into HVPE beta-Ga2O3:N,",,Hall,,,78.0,,phase77_ingest
phase77,10.1063/5.0124017,10.1063/5.0124017,Si,,64.7,at%,implantation + activation; room-temperat,,Hall,,1.3e+19,,,phase77_ingest
phase77,10.1063/5.0124017,10.1063/5.0124017,Si,,,at%,"ion implantation into HVPE beta-Ga2O3:N,",,Hall,,,93.0,,phase77_ingest
phase77,10.1063/5.0124017,10.1063/5.0124017,Sn,,,at%,"ion implantation into HVPE beta-Ga2O3:N,",,Hall,,,63.0,,phase77_ingest
phase77,10.1063/5.0137666,10.1063/5.0137666,Si,,,at%,MOVPE,,Hall,,2.3e+16,196.0,,phase77_ingest
phase77,10.1063/5.0137666,10.1063/5.0137666,Si,,,at%,MOVPE,,Hall,,1e+17,184.0,,phase77_ingest
phase77,10.1063/5.0137666,10.1063/5.0137666,Si,,,at%,MOVPE,,Hall,,1.2e+20,85.0,,phase77_ingest
phase77,10.1063/5.0137666,10.1063/5.0137666,Si,,,at%,MOVPE,,Hall,,,196.0,,phase77_ingest
phase77,10.1063/5.0137666,10.1063/5.0137666,Si,,,at%,"MOVPE (delta-doping, 600C)",,Hall,,,94.0,,phase77_ingest
phase77,10.1063/5.0137666,10.1063/5.0137666,Si,,,at%,"MOVPE (delta-doping, 810C)",,Hall,,,110.0,,phase77_ingest
phase77,10.1063/5.0179622,10.1063/5.0179622,Si,,,at%,"in-situ MOCVD doped film, van der Pauw H",,Hall,,2.3e+19,91.0,,phase77_ingest
phase77,10.1063/5.0179622,10.1063/5.0179622,Si,,,at%,"in-situ MOCVD doped film, van der Pauw H",,Hall,,,58.0,,phase77_ingest
phase77,10.1063/5.0179622,10.1063/5.0179622,Si,,,at%,ion implantation + furnace anneal (PAMBE,,Hall,,,94.0,,phase77_ingest
phase77,10.1063/5.0179622,10.1063/5.0179622,Si,,81.0,at%,"ion implantation + furnace anneal, van d",,Hall,,3.95e+18,71.6,,phase77_ingest
phase77,10.1063/5.0179622,10.1063/5.0179622,Si,,81.0,at%,"ion implantation + furnace anneal, van d",,Hall,,4.22e+19,70.8,,phase77_ingest
phase77,10.1063/5.0179622,10.1063/5.0179622,Si,,81.0,at%,"ion implantation + furnace anneal, van d",,Hall,,8.14e+19,,,phase77_ingest
phase77,10.1063/5.0179622,10.1063/5.0179622,Si,,80.0,at%,ion implantation + staged furnace anneal,,Hall,,,90.0,,phase77_ingest
phase77,10.1063/5.0179622,10.1063/5.0179622,Si,,80.0,at%,ion implantation + staged furnace anneal,,Hall,,,60.0,,phase77_ingest
phase77,10.1063/5.0182448,10.1063/5.0182448,Si,,-0.7,at%,mist CVD (homoepitaxial on Fe-doped (010,,Hall,,2.58e+20,57.2,,phase77_ingest
phase77,10.1063/5.0182448,10.1063/5.0182448,Si,,-0.7,at%,mist CVD (homoepitaxial on Fe-doped (010,,Hall,,3.85e+18,,,phase77_ingest
phase77,10.1063/5.0184850,10.1063/5.0184850,Si,,,at%,MOCVD in-situ doped film (not implanted),,Hall,,,91.0,,phase77_ingest
phase77,10.1063/5.0184850,10.1063/5.0184850,Si,,,at%,"MOCVD in-situ doped film, staged anneal ",,Hall,,2.3e+19,58.0,,phase77_ingest
phase77,10.1063/5.0184850,10.1063/5.0184850,Si,,,at%,ion implantation into PAMBE homoepitaxia,,Hall,,,94.0,,phase77_ingest
phase77,10.1063/5.0184850,10.1063/5.0184850,Si,,81.0,at%,"ion implantation, 5 min anneal at 950 C",,Hall,,,70.8,,phase77_ingest
phase77,10.1063/5.0184850,10.1063/5.0184850,Si,,81.0,at%,"ion implantation, 5 min anneal at 950 C;",,Hall,,8.15e+19,,,phase77_ingest
phase77,10.1063/5.0184850,10.1063/5.0184850,Si,,28.0,at%,"ion implantation, 60 min anneal at 950 C",,Hall,,2.8e+19,,,phase77_ingest
phase77,10.1063/5.0184850,10.1063/5.0184850,Si,,,at%,"ion implantation, furnace anneal 950 C",,Hall,,,71.6,,phase77_ingest
phase77,10.1063/5.0184850,10.1063/5.0184850,Si,,,at%,"ion implantation, furnace anneal 950 C; ",,Hall,,3.95e+18,,,phase77_ingest
phase77,10.1063/5.0184850,10.1063/5.0184850,Si,,,at%,"ion implantation, furnace anneal 950 C; ",,Hall,,4.22e+19,,,phase77_ingest
phase77,10.1063/5.0184946,10.1063/5.0184946,Si,,,at%,MOCVD in-situ + furnace anneal 950C 30mi,,Hall,,2.3e+19,58.0,,phase77_ingest
phase77,10.1063/5.0184946,10.1063/5.0184946,Si,,,at%,MOCVD in-situ Si doping (as-grown),,Hall,,,91.0,,phase77_ingest
phase77,10.1063/5.0184946,10.1063/5.0184946,Si,,,at%,ion implantation + furnace anneal 950C,,Hall,,,94.0,,phase77_ingest
phase77,10.1063/5.0184946,10.1063/5.0184946,Si,,,at%,ion implantation + furnace anneal 950C,,Hall,,,71.6,,phase77_ingest
phase77,10.1063/5.0184946,10.1063/5.0184946,Si,,,at%,ion implantation + furnace anneal 950C (,,Hall,,,90.0,,phase77_ingest
phase77,10.1063/5.0184946,10.1063/5.0184946,Si,,,at%,ion implantation + furnace anneal 950C (,,Hall,,,60.0,,phase77_ingest
phase77,10.1063/5.0184946,10.1063/5.0184946,Si,,,at%,ion implantation + furnace anneal 950C 5,,Hall,,8.14e+19,70.8,,phase77_ingest
phase77,10.1063/5.0184946,10.1063/5.0184946,Si,,,at%,ion implantation + furnace anneal 950C 5,,Hall,,,70.8,,phase77_ingest
phase77,10.1063/5.0185911,10.1063/5.0185911,Si,,,at%,"mist CVD (homoepitaxial, beta-Ga2O3(010)",,Hall,,3.85e+18,57.2,,phase77_ingest
phase77,10.1063/5.0185911,10.1063/5.0185911,Si,,,at%,"mist CVD (homoepitaxial, beta-Ga2O3(010)",,Hall,,2.58e+20,,,phase77_ingest
phase77,10.1063/5.0186897,10.1063/5.0186897,Si,,,at%,"mist CVD (homoepitaxial, beta-Ga2O3(010)",,Hall,,2.58e+20,57.2,,phase77_ingest
phase77,10.1063/5.0186897,10.1063/5.0186897,Si,,,at%,"mist CVD (homoepitaxial, beta-Ga2O3(010)",,Hall,,3.85e+18,,,phase77_ingest
phase77,10.1063/5.0187947,10.1063/5.0187947,Si,,,at%,mist CVD homoepitaxy on Fe-doped β-Ga2O3,,Hall,,2.58e+20,57.2,,phase77_ingest
phase77,10.1063/5.0187947,10.1063/5.0187947,Si,,,at%,mist CVD homoepitaxy on Fe-doped β-Ga2O3,,Hall,,3.85e+18,,,phase77_ingest
phase77,10.1063/5.0188055,10.1063/5.0188055,Ge,,,at%,LPCVD (low-pressure chemical vapor depos,,Hall,,2.3e+17,,,phase77_ingest
phase77,10.1063/5.0205906,10.1063/5.0205906,Ge,,,at%,mist chemical vapor deposition (mist CVD,,Hall,,8.2e+16,66.0,,phase77_ingest
phase77,10.1063/5.0205906,10.1063/5.0205906,Ge,,,at%,mist chemical vapor deposition (mist CVD,,Hall,,1.6e+19,,,phase77_ingest
phase77,10.1063/5.0205906,10.1063/5.0205906,Ge,,,at%,mist chemical vapor deposition (mist CVD,,Hall,,6.3e+17,,,phase77_ingest
phase77,10.1063/5.0207432,10.1063/5.0207432,Ge,,,at%,mist CVD (alpha-Ga2O3 on m-plane sapphir,,Hall,,8.2e+16,66.0,,phase77_ingest
phase77,10.1063/5.0207432,10.1063/5.0207432,Ge,,,at%,mist CVD (alpha-Ga2O3 on m-plane sapphir,,Hall,,1.6e+19,,,phase77_ingest
phase77,10.1063/5.0207432,10.1063/5.0207432,Ge,,,at%,mist CVD (alpha-Ga2O3 on m-plane sapphir,,Hall,,6.3e+17,,,phase77_ingest
phase77,10.1063/5.0230413,10.1063/5.0230413,Si,,,at%,MOCVD homoepitaxy on Fe-doped (010) beta,,Hall,,4380000000000000.0,200.0,,phase77_ingest
phase77,10.1063/5.0230413,10.1063/5.0230413,Si,,,at%,MOCVD homoepitaxy on Fe-doped (010) beta,,Hall,,6590000000000000.0,194.0,,phase77_ingest
phase77,10.1063/5.0230413,10.1063/5.0230413,Si,,,at%,MOCVD homoepitaxy on Fe-doped (010) beta,,Hall,,6700000000000000.0,199.0,,phase77_ingest
phase77,10.1063/5.0230413,10.1063/5.0230413,Si,,,at%,MOCVD homoepitaxy on Fe-doped (010) beta,,Hall,,8300000000000000.0,198.0,,phase77_ingest
phase77,10.1063/5.0230413,10.1063/5.0230413,undoped,,,at%,MOCVD homoepitaxy on Fe-doped (010) beta,,Hall,,3430000000000000.0,196.0,,phase77_ingest
phase77,10.1063/5.0244593,10.1063/5.0244593,Sn,,,at%,magnetron sputtering on BaF2 substrate,,Hall,,1500000000000000.0,26.9,,phase77_ingest
phase77,10.1063/5.0245559,10.1063/5.0245559,Si,,,at%,LPCVD heteroepitaxial (-201) c-sapphire ,,Hall,,,113.0,,phase77_ingest
phase77,10.1063/5.0245559,10.1063/5.0245559,Si,,,at%,LPCVD heteroepitaxial (-201) c-sapphire ,,Hall,,,138.0,,phase77_ingest
phase77,10.1063/5.0245559,10.1063/5.0245559,Si,,,at%,LPCVD heteroepitaxial (-201) c-sapphire ,,Hall,,,149.0,,phase77_ingest
phase77,10.1063/5.0245559,10.1063/5.0245559,Si,,,at%,LPCVD heteroepitaxial (-201) c-sapphire ,,Hall,,,124.0,,phase77_ingest
phase77,10.1063/5.0245559,10.1063/5.0245559,Si,,,at%,LPCVD heteroepitaxial (-201) c-sapphire ,,Hall,,,118.0,,phase77_ingest
phase77,10.1063/5.0245559,10.1063/5.0245559,Si,,,at%,LPCVD heteroepitaxial (-201) c-sapphire ,,Hall,,,109.0,,phase77_ingest
phase77,10.1063/5.0245559,10.1063/5.0245559,Si,,,at%,LPCVD heteroepitaxial (-201) c-sapphire ,,Hall,,,81.0,,phase77_ingest
phase77,10.1063/5.0245559,10.1063/5.0245559,Si,,,at%,LPCVD heteroepitaxial (-201) c-sapphire ,,Hall,,,94.0,,phase77_ingest
phase77,10.1063/5.0245559,10.1063/5.0245559,Si,,,at%,LPCVD heteroepitaxial (-201) c-sapphire ,,Hall,,,74.0,,phase77_ingest
phase77,10.1063/5.0245559,10.1063/5.0245559,Si,,,at%,LPCVD heteroepitaxial (-201) c-sapphire ,,Hall,,,59.0,,phase77_ingest
phase77,10.1063/5.0245559,10.1063/5.0245559,Si,,,at%,LPCVD heteroepitaxial (-201) on 6° offcu,,Hall,,1.15e+17,149.0,,phase77_ingest
phase77,10.1063/5.0245559,10.1063/5.0245559,Si,,,at%,LPCVD homoepitaxial (010),,Hall,,5.05e+17,92.0,,phase77_ingest
phase77,10.1063/5.0245559,10.1063/5.0245559,Si,,,at%,LPCVD homoepitaxial (010),,Hall,,,101.0,,phase77_ingest
phase77,10.1063/5.0245559,10.1063/5.0245559,Si,,,at%,LPCVD homoepitaxial (010),,Hall,,,106.0,,phase77_ingest
phase77,10.1063/5.0245559,10.1063/5.0245559,Si,,,at%,LPCVD homoepitaxial (010),,Hall,,,81.0,,phase77_ingest
phase77,10.1063/5.0245559,10.1063/5.0245559,Si,,,at%,LPCVD homoepitaxial (010) Fe-doped Ga2O3,,Hall,,,118.0,,phase77_ingest
phase77,10.1063/5.0245559,10.1063/5.0245559,Si,,,at%,LPCVD homoepitaxial (010) on Fe-doped Ga,,Hall,,1.51e+17,162.0,,phase77_ingest
phase77,10.1063/5.0261436,10.1063/5.0261436,Nb,,,at%,optical floating zone (OFZ) single cryst,,Hall,,6.1e+17,83.0,,phase77_ingest
phase77,10.1063/5.0261436,10.1063/5.0261436,Nb,,,at%,optical floating zone (OFZ) single cryst,,Hall,,1.2e+18,75.0,,phase77_ingest
phase77,10.1063/5.0302735,10.1063/5.0302735,Si,,,at%,"MOCVD (TMGa, O2, Ar carrier, diluted SiH",,Hall,,,130.0,,phase77_ingest
phase77,10.1063/5.0302735,10.1063/5.0302735,Si,,,at%,"MOCVD (TMGa, diluted SiH4 in N2 at 23.9 ",,Hall,,5570000000000000.0,,,phase77_ingest
phase77,10.1063/5.0302735,10.1063/5.0302735,Si,,,at%,"MOCVD TMGa, controllable intentional Si ",,Hall,,3000000000000000.0,,,phase77_ingest
phase77,10.1063/5.0302735,10.1063/5.0302735,undoped,,,at%,"MOCVD TMGa, 170 umol/min flow; 4-corner ",,Hall,,,176.0,,phase77_ingest
phase77,10.1063/5.0302735,10.1063/5.0302735,undoped,,,at%,"MOCVD TMGa, 170 umol/min; Hall; SIMS-cor",,Hall,,3000000000000000.0,,,phase77_ingest
phase77,10.1063/5.0302735,10.1063/5.0302735,undoped,,,at%,MOCVD TMGa; Hall (best-mobility UID grow,,Hall,,2000000000000000.0,,,phase77_ingest
phase77,10.1063/5.0307330,10.1063/5.0307330,Si,,,at%,CIS-MOCVD (close-injection showerhead MO,,Hall,,,114.0,,phase77_ingest
phase77,10.1063/5.0307330,10.1063/5.0307330,Si,,,at%,SIMS (Si doping concentration of n-type ,,Hall,,2e+18,,,phase77_ingest
phase77,10.1088/1361-6641/ab75a6,10.1088/1361-6641/ab75a6,Hf,,0.5,at%,VGF melt growth (single crystal),,Hall,,7.5e+18,78.0,,phase77_ingest
phase77,10.1088/1361-6641/ab75a6,10.1088/1361-6641/ab75a6,Hf,,0.5,at%,VGF melt growth (single crystal),,Hall,,8.2e+18,77.0,,phase77_ingest
phase77,10.1088/1361-6641/ab75a6,10.1088/1361-6641/ab75a6,Hf,,0.5,at%,VGF melt growth (single crystal),,Hall,,9.2e+18,80.0,,phase77_ingest
phase77,10.1088/1361-6641/ab75a6,10.1088/1361-6641/ab75a6,Hf,,0.5,at%,VGF melt growth (single crystal),,Hall,,9.5e+18,72.0,,phase77_ingest
phase77,10.1088/1361-6641/ab75a6,10.1088/1361-6641/ab75a6,Hf,,0.5,at%,VGF melt growth (single crystal),,Hall,,1.1e+19,70.0,,phase77_ingest
phase77,10.1088/1361-6641/ab75a6,10.1088/1361-6641/ab75a6,Hf,,0.5,at%,VGF melt growth (single crystal),,Hall,,1.1e+19,61.0,,phase77_ingest
phase77,10.1088/1361-6641/ab75a6,10.1088/1361-6641/ab75a6,Hf,,0.5,at%,VGF melt growth (single crystal),,Hall,,1.5e+19,51.0,,phase77_ingest
phase77,10.1088/1361-6641/ab75a6,10.1088/1361-6641/ab75a6,Hf,,0.5,at%,VGF melt growth (single crystal),,Hall,,1.9e+19,64.0,,phase77_ingest
phase77,10.1088/1361-6641/ab75a6,10.1088/1361-6641/ab75a6,undoped,,,at%,VGF/CZ melt growth (single crystal),,Hall,,4.3e+17,68.0,,phase77_ingest
phase77,10.1088/1361-6641/ab75a6,10.1088/1361-6641/ab75a6,undoped,,,at%,VGF/CZ melt growth (single crystal),,Hall,,1.5e+17,97.0,,phase77_ingest
phase77,10.1088/1674-4926/43/9/092802,10.1088/1674-4926/43/9/092802,H,,,at%,"FastHall (M91 Lake Shore), Van der Pauw,",,Hall,,4e+18,27.6,,phase77_ingest
phase77,10.1088/1674-4926/43/9/092802,10.1088/1674-4926/43/9/092802,H,,,at%,"FastHall (M91 Lake Shore), Van der Pauw,",,Hall,,5.8e+18,41.8,,phase77_ingest
phase77,10.1088/1674-4926/43/9/092802,10.1088/1674-4926/43/9/092802,H,,,at%,"FastHall (M91 Lake Shore), Van der Pauw,",,Hall,,,45.0,,phase77_ingest
phase77,10.1116/6.0000866,10.1116/6.0000866,Ge,,,at%,"LPCVD (overall, both setups, 6deg offcut",,Hall,,1e+17,,,phase77_ingest
phase77,10.1116/6.0000866,10.1116/6.0000866,Ge,,,at%,"LPCVD (setup 1, on 6deg offcut sapphire)",,Hall,,,25.0,,phase77_ingest
phase77,10.1116/6.0000866,10.1116/6.0000866,Ge,,,at%,"LPCVD (setup 1, oxygen delivery tube, on",,Hall,,5e+17,,,phase77_ingest
phase77,10.1116/6.0000866,10.1116/6.0000866,Ge,,,at%,"LPCVD (setup 2, argon/gallium delivery t",,Hall,,2e+17,,,phase77_ingest
phase77,10.1116/6.0000866,10.1116/6.0000866,Ge,,,at%,"LPCVD (setup 2, on (010) Ga2O3 and sapph",,Hall,,,20.0,,phase77_ingest
phase77,10.1116/6.0000866,10.1116/6.0000866,Ge,,,at%,"LPCVD (setup 2, sample G, (010) single c",,Hall,,3e+18,,,phase77_ingest
phase77,10.1116/6.0001004,10.1116/6.0001004,Ge,,,at%,"LPCVD (setup 1), 6 deg offcut sapphire s",,Hall,,5e+17,,,phase77_ingest
phase77,10.1116/6.0001004,10.1116/6.0001004,Ge,,,at%,"LPCVD (setup 1), heteroepitaxial on 6 de",,Hall,,,25.0,,phase77_ingest
phase77,10.1116/6.0001004,10.1116/6.0001004,Ge,,,at%,"LPCVD (setup 2), (010) single-crystal su",,Hall,,3e+18,,,phase77_ingest
phase77,10.1116/6.0001004,10.1116/6.0001004,Ge,,,at%,"LPCVD (setup 2), CV apparent carrier den",,Hall,,2e+17,,,phase77_ingest
phase77,10.1116/6.0001004,10.1116/6.0001004,Ge,,,at%,"LPCVD (setup 2, Ar delivery tube), homoe",,Hall,,2e+17,20.0,,phase77_ingest
phase77,10.1116/6.0001004,10.1116/6.0001004,Ge,,,at%,"LPCVD (setups 1 and 2), 6 deg offcut and",,Hall,,1e+17,,,phase77_ingest
phase77,10.3390/inorganics13100329,10.3390/inorganics13100329,W,,10.7,at%,"electron beam (e-beam) evaporation, room",,Hall,,2.135e+16,4.2,,phase77_ingest
phase77,10.3390/ma17194931,10.3390/ma17194931,Mg,,3.6,at%,electron beam evaporation + postanneal 8,,Hall,,195000000000000.0,0.53682,,phase77_ingest
phase77,10.3390/mi16080954,10.3390/mi16080954,Zn,,4.0,at%,PECVD,,Hall,,5000000000000.0,0.13,,phase77_ingest
phase77,10.3390/mi16080954,10.3390/mi16080954,Zn,,4.0,at%,PECVD,,Hall,,8000000000000.0,0.22,,phase77_ingest
phase77,10.3390/mi16080954,10.3390/mi16080954,Zn,,4.0,at%,PECVD,,Hall,,10000000000000.0,0.16,,phase77_ingest
